Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-22,2023-11-23,122.15,122.88,1,Daily Cash MtM,Beta,960.94,0.5976
AXIA3,OU_MR,Sell,Buy,2023-11-17,2023-11-23,35.94,36.32,5,Time Exit,HL:5.8,528.66,1.06
ASAI3,OU_MR,Sell,Buy,2023-11-20,2023-11-23,12.72,13.17,4,Time Exit,HL:4.1,1768.87,3.54
BHIA3,VWAP_Divergence,Sell,Buy,2023-11-21,2023-11-24,15.01,13.5,4,Stop Loss,Div:8.5%,-5029.98,-10.06
AXIA6,VWAP_Divergence,Sell,Buy,2023-11-20,2023-11-24,29.75,29.7,5,Time Exit,Div:10.1%,-84.03,-0.17
ECOR3,OU_MR,Sell,Buy,2023-11-21,2023-11-24,7.83,7.82,4,Time Exit,HL:4.6,-63.86,-0.13
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-23,2023-11-24,122.88,121.66,1,Daily Cash MtM,Beta,-1628.77,-0.9928
LJQQ3,OU_MR,Sell,Buy,2023-11-10,2023-11-24,4.08,4.38,10,Time Exit,HL:10.5,3676.47,7.35
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-24,2023-11-27,121.66,121.94,1,Daily Cash MtM,Beta,600.51,0.2301
BBAS3,OU_MR,Sell,Buy,2023-11-10,2023-11-27,21.54,22.44,11,Time Exit,HL:11.3,2089.14,4.18
ALOS3,OU_MR,Sell,Buy,2023-11-20,2023-11-27,21.58,21.27,6,Time Exit,HL:6.8,-718.26,-1.44
CMIN3,VWAP_Divergence,Sell,Buy,2023-11-21,2023-11-27,5.47,5.58,5,Time Exit,Div:22.1%,1005.48,2.01
CBAV3,OU_MR,Sell,Buy,2023-11-22,2023-11-27,4.47,4.02,4,Stop Loss,HL:8.4,-5033.56,-10.07
AURE3,OU_MR,Sell,Buy,2023-11-24,2023-11-27,12.59,12.53,2,Time Exit,HL:2.9,-238.28,-0.48
RADL3,OU_MR,Sell,Buy,2023-11-23,2023-11-28,26.61,27.74,4,Time Exit,HL:4.6,2123.26,4.25
AMAR3,OU_MR,Sell,Buy,2023-11-20,2023-11-28,3.75,3.78,7,Time Exit,HL:7.2,400.0,0.8
DIRR3,OU_MR,Sell,Buy,2023-11-16,2023-11-28,5.08,4.95,9,Time Exit,HL:10.0,-1279.53,-2.56
BEEF3,OU_MR,Buy,Sell,2023-11-16,2023-11-28,6.85,7.02,9,Time Exit,HL:9.4,-1240.88,-2.48
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-27,2023-11-28,121.94,122.72,1,Daily Cash MtM,Beta,2293.99,0.6397
COGN3,OU_MR,Sell,Buy,2023-11-16,2023-11-28,2.46,2.72,9,Time Exit,HL:9.4,5284.55,10.57
ISAE4,OU_MR,Sell,Buy,2023-11-10,2023-11-28,19.31,19.44,12,Time Exit,HL:12.4,336.61,0.67
IRBR3,OU_MR,Sell,Buy,2023-11-27,2023-11-29,46.36,48.38,3,Time Exit,HL:3.5,2178.6,4.36
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-28,2023-11-29,122.72,122.27,1,Daily Cash MtM,Beta,-2444.17,-0.3667
VALE3,VWAP_Divergence,Sell,Buy,2023-11-23,2023-11-29,60.17,59.37,5,Time Exit,Div:10.6%,-664.78,-1.33
YDUQ3,OU_MR,Sell,Buy,2023-11-29,2023-11-30,18.93,18.1,2,Time Exit,HL:2.5,-2192.29,-4.38
CMIG3,Vol_Climax,Buy,Sell,2023-11-24,2023-11-30,9.36,9.09,5,Time Exit,Vz:4.1,1442.31,2.88
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-29,2023-11-30,122.27,123.57,1,Daily Cash MtM,Beta,6013.76,1.0632
AZZA3,OU_MR,Sell,Buy,2023-11-20,2023-11-30,55.67,52.44,9,Time Exit,HL:9.2,-2901.02,-5.8
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-11-30,2023-12-01,123.57,124.24,1,Daily Cash MtM,Beta,3079.59,0.5422
ARML3,OU_MR,Sell,Buy,2023-11-17,2023-12-01,13.33,13.99,11,Time Exit,HL:11.5,2475.62,4.95
BRAV3,OU_MR,Buy,Sell,2023-11-29,2023-12-01,30.48,29.41,3,Time Exit,HL:3.8,1755.25,3.51
RAIZ4,OU_MR,Buy,Sell,2023-11-29,2023-12-01,3.51,3.53,3,Time Exit,HL:3.8,-284.9,-0.57
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-01,2023-12-04,124.24,122.96,1,Daily Cash MtM,Beta,-5408.92,-1.0303
CMIG4,OU_MR,Buy,Sell,2023-11-27,2023-12-04,5.76,5.99,6,Time Exit,HL:6.7,-1996.53,-3.99
BMGB4,Vol_Climax,Sell,Buy,2023-11-29,2023-12-05,1.9,1.98,5,Time Exit,Vz:3.0,2105.26,4.21
PCAR3,OU_MR,Buy,Sell,2023-12-01,2023-12-05,3.37,3.71,3,Stop Loss,HL:7.7,-5044.51,-10.09
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-04,2023-12-05,122.96,123.01,1,Daily Cash MtM,Beta,68.16,0.0407
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-05,2023-12-06,123.01,121.72,1,Daily Cash MtM,Beta,-1727.49,-1.0487
ABCB4,OU_MR,Sell,Buy,2023-11-20,2023-12-06,17.47,17.8,13,Time Exit,HL:13.9,944.48,1.89
VIVA3,OU_MR,Sell,Buy,2023-12-04,2023-12-06,27.97,28.11,3,Time Exit,HL:3.5,250.27,0.5
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-06,2023-12-07,121.72,122.29,1,Daily Cash MtM,Beta,768.9,0.4683
MBRF3,VWAP_Divergence,Sell,Buy,2023-12-01,2023-12-07,8.33,7.96,5,Time Exit,Div:25.7%,-2220.89,-4.44
MTRE3,VWAP_Divergence,Sell,Buy,2023-12-01,2023-12-07,3.71,3.89,5,Time Exit,Div:10.4%,2425.88,4.85
BRAV3,OU_MR,Buy,Sell,2023-12-04,2023-12-07,29.38,26.94,4,Time Exit,HL:4.4,4152.48,8.3
KLBN11,Vol_Climax,Buy,Sell,2023-12-04,2023-12-08,16.09,15.91,5,Time Exit,Vz:3.9,559.35,1.12
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-07,2023-12-08,122.29,123.31,1,Daily Cash MtM,Beta,1829.31,0.8341
CURY3,OU_MR,Sell,Buy,2023-12-04,2023-12-08,13.85,13.06,5,Time Exit,HL:6.0,-2851.99,-5.7
ONCO3,OU_MR,Sell,Buy,2023-12-04,2023-12-11,11.14,11.39,6,Time Exit,HL:6.9,1122.08,2.24
INTB3,OU_MR,Sell,Buy,2023-11-30,2023-12-11,18.48,19.16,8,Time Exit,HL:8.3,1839.83,3.68
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-08,2023-12-11,123.31,123.11,1,Daily Cash MtM,Beta,-273.87,-0.1622
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-11,2023-12-12,123.11,122.6,1,Daily Cash MtM,Beta,-710.65,-0.4143
IRBR3,OU_MR,Sell,Buy,2023-11-30,2023-12-12,48.79,50.94,9,Time Exit,HL:9.4,2203.32,4.41
BRBI11,Vol_Climax,Buy,Sell,2023-12-06,2023-12-12,10.48,10.78,5,Time Exit,Vz:3.5,-1431.3,-2.86
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-12,2023-12-13,122.6,125.71,1,Daily Cash MtM,Beta,4353.16,2.5367
CYRE3,OU_MR,Sell,Buy,2023-12-04,2023-12-13,18.7,20.3,8,Time Exit,HL:8.4,4278.07,8.56
ABEV3,OU_MR,Sell,Buy,2023-12-05,2023-12-13,11.16,11.64,7,Time Exit,HL:7.4,2150.54,4.3
ASAI3,OU_MR,Buy,Sell,2023-12-12,2023-12-14,11.53,12.69,3,Stop Loss,HL:5.7,-5030.36,-10.06
GMAT3,OU_MR,Sell,Buy,2023-12-11,2023-12-14,5.94,6.68,4,Take Profit,HL:6.9,6228.96,12.46
CSED3,OU_MR,Sell,Buy,2023-12-11,2023-12-14,3.9,4.39,4,Take Profit,HL:4.2,6282.05,12.56
ESPA3,VWAP_Divergence,Buy,Sell,2023-12-08,2023-12-14,1.19,1.31,5,Stop Loss,Div:-8.3%,-5042.02,-10.08
CSAN3,OU_MR,Buy,Sell,2023-12-08,2023-12-14,16.39,18.04,5,Stop Loss,HL:11.1,-5033.56,-10.07
AZZA3,OU_MR,Sell,Buy,2023-12-12,2023-12-14,56.66,60.71,3,Time Exit,HL:3.5,3573.95,7.15
BBSE3,Keltner_Squeeze,Sell,Buy,2023-12-06,2023-12-14,23.83,24.31,7,Time Exit,SqueezeBrk_Dn,1007.13,2.01
B3SA3,OU_MR,Sell,Buy,2023-12-05,2023-12-14,12.15,13.66,8,Take Profit,HL:12.6,6213.99,12.43
BRSR6,OU_MR,Sell,Buy,2023-11-30,2023-12-14,9.68,10.08,11,Time Exit,HL:11.5,2066.12,4.13
BBDC4,OU_MR,Sell,Buy,2023-11-27,2023-12-14,12.77,13.61,14,Time Exit,HL:14.2,3288.96,6.58
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-13,2023-12-14,125.71,126.88,1,Daily Cash MtM,Beta,1697.51,0.9307
BRKM5,OU_MR,Buy,Sell,2023-12-07,2023-12-14,17.4,16.93,6,Time Exit,HL:6.7,1350.57,2.7
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-14,2023-12-15,126.88,126.28,1,Daily Cash MtM,Beta,-3069.0,-0.4729
LREN3,OU_MR,Sell,Buy,2023-12-01,2023-12-15,13.17,13.87,11,Time Exit,HL:11.1,2657.56,5.32
IGTI11,OU_MR,Sell,Buy,2023-12-04,2023-12-15,21.74,22.99,10,Time Exit,HL:10.3,2874.89,5.75
RAIZ4,OU_MR,Buy,Sell,2023-12-14,2023-12-15,3.49,3.59,2,Time Exit,HL:2.8,-1432.66,-2.87
AZZA3,OU_MR,Sell,Buy,2023-12-15,2023-12-18,61.05,58.33,2,Time Exit,HL:3.0,-2227.68,-4.46
AERI3,OU_MR,Sell,Buy,2023-12-15,2023-12-18,19.01,19.39,2,Time Exit,HL:2.3,999.47,2.0
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-15,2023-12-18,126.28,127.27,1,Daily Cash MtM,Beta,1960.11,0.784
HYPE3,OU_MR,Sell,Buy,2023-12-08,2023-12-18,31.74,31.74,7,Time Exit,HL:7.2,0.0,0.0
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2023-12-18,2023-12-19,127.27,128.05,1,Daily Cash MtM,Beta,1536.81,0.6129
