Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,lot_size
2024-01-03,JSLG3,24,0.71,1.86,4.51,-3.84,62026.0,JSLG3_Up_1.5_close_Afastado_-1_Buy_Corpo,11.66,1.0,0.71,0.71,1,True,12.04,11.66,1633.9999999999957,4300
2024-01-03,PGMN3,17,0.76,2.4,5.54,-3.42,62669.0,PGMN3_Down_2_close_Afastado_0.5_Sell_Corpo,3.31,0.75,0.76,0.76,1,True,3.29,3.31,302.0,15100
2024-01-03,POMO3,29,0.86,1.98,5.94,-4.19,71695.0,POMO3_Up_0.5_close_Afastado_1_Buy_Pavio,4.11,1.0,0.86,0.86,1,True,4.21,4.11,1219.9999999999952,12200
2024-01-03,RECV3,28,0.82,1.63,5.49,-3.95,64412.0,RECV3_Down_0.5_close_Afastado_0_Sell_GAP,16.85,1.0,0.82,0.82,1,True,17.24,16.85,-1169.9999999999911,3000
2024-01-03,SBFG3,21,0.71,2.27,6.71,-3.47,62924.0,SBFG3_Down_1_open_Afastado_-0.5_Sell_Corpo,10.94,0.75,0.71,0.71,1,False,10.44,10.94,2300.0,4600
2024-01-03,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.79,0.75,0.71,0.71,1,False,9.03,8.79,-1368.0000000000011,5700
2024-01-03,SMTO3,24,0.75,1.78,5.38,-3.37,64027.0,SMTO3_Down_1.5_close_Afastado_0_Sell_Corpo,27.18,0.75,0.75,0.75,1,True,27.46,27.18,-504.00000000000193,1800
2024-01-03,SOJA3,39,0.72,1.63,5.9,-4.06,64474.0,SOJA3_Up_0.5_close_Afastado_1_Buy_Pavio,15.58,0.75,0.72,0.72,1,True,15.6,15.58,63.9999999999984,3200
2024-01-03,SYNE3,27,0.78,1.77,4.62,-3.7,66576.0,SYNE3_Up_1_high_Afastado_-1_Buy_Corpo,1.82,1.0,0.78,0.78,1,True,1.76,1.82,-1650.0,27500
2024-01-05,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,52.27,0.75,0.71,0.71,1,False,50.1,52.27,2170.000000000002,1000
2024-01-05,CBAV3,28,0.75,1.57,4.25,-4.68,60050.0,CBAV3_Down_1_close_Afastado_-0.5_Sell_Corpo,4.87,0.75,0.75,0.75,1,True,5.08,4.87,-2162.999999999999,10300
2024-01-05,CVCB3,9,0.78,3.69,6.19,-4.8,61815.0,CVCB3_Down_1.5_high_Afastado_-1_Buy_Corpo,3.28,1.0,0.78,0.78,1,True,3.18,3.28,-1519.9999999999939,15200
2024-01-05,GGPS3,57,0.72,1.06,4.3,-4.38,63898.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,17.62,1.0,0.72,0.7,1,True,18.05,17.62,-1203.999999999999,2800
2024-01-05,MILS3,25,0.76,1.66,4.67,-3.48,62732.0,MILS3_Down_1_close_Afastado_1_Buy_Corpo,12.8,0.75,0.76,0.76,1,True,12.81,12.8,38.99999999999883,3900
2024-01-05,PCAR3,43,0.77,2.27,6.78,-4.36,80707.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,4.33,0.75,0.77,0.77,1,True,4.1,4.33,2645.0000000000045,11500
2024-01-05,POMO3,11,1.0,2.6,5.94,-2.71,64313.0,POMO3_Down_0.5_high_Afastado_1_Buy_Pavio,4.25,1.0,1.0,1.0,1,False,4.13,4.25,-1416.0000000000014,11800
2024-01-05,RAPT4,16,0.88,1.93,5.6,-3.41,61630.0,RAPT4_Down_0.5_open_Afastado_0.5_Buy_Corpo,13.27,1.0,0.88,0.88,1,False,12.84,13.27,-1633.9999999999989,3800
2024-01-05,RECV3,34,0.71,1.49,3.77,-4.3,61455.0,RECV3_Down_0.5_high_Afastado_-1_Sell_Movimento,17.19,0.75,0.71,0.71,1,True,17.12,17.19,203.0000000000006,2900
2024-01-05,SBFG3,16,0.81,2.36,4.34,-3.91,64457.0,SBFG3_Down_0.5_open_Afastado_0_Sell_GAP,10.38,0.75,0.81,0.81,1,False,10.06,10.38,1536.0000000000014,4800
2024-01-05,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.75,0.75,0.71,0.71,1,False,9.03,8.75,-1595.9999999999961,5700
2024-01-05,SMTO3,21,0.76,1.8,5.38,-3.57,62107.0,SMTO3_Down_2_close_Afastado_0_Sell_Corpo,26.84,0.75,0.76,0.76,1,True,27.1,26.84,-494.00000000000284,1900
2024-01-05,SOJA3,20,0.75,1.5,5.72,-3.62,60449.0,SOJA3_Down_0.5_high_Afastado_-0.5_Buy_Movimento,15.65,0.75,0.75,0.75,1,False,15.31,15.65,-1087.9999999999993,3200
2024-01-05,VITT3,23,0.74,1.95,4.55,-4.9,60114.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,8.73,1.0,0.74,0.74,1,False,8.61,8.73,-684.0000000000057,5700
2024-01-08,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,51.08,0.75,0.71,0.71,1,False,47.85,51.08,3229.999999999997,1000
2024-01-08,AMBP3,35,0.71,1.71,4.58,-4.17,64660.0,AMBP3_Up_0.5_close_Afastado_-1_Sell_Movimento,15.18,0.75,0.71,0.71,1,True,16.02,15.18,-2771.9999999999995,3300
2024-01-08,BRFS3,17,0.76,2.31,5.15,-2.97,63682.0,BRFS3_Up_0.5_open_Afastado_0_Buy_Corpo,12.19,0.75,0.76,0.76,1,False,12.36,12.19,696.9999999999995,4100
